sku,productType,canonicalGroupId,imageStatus,requestedImageStatus,mainImageAssetId,dataStatus,hasProductLink,productLink,titleEn,material,gsmOrThickness,applications
"KH-FD-BURGER-050-PR-024","paper-packaging-material","paper-packaging-material-50g-pe-coating","representative","representative","kh-material-family-representative","pending-source","false","","Burger Wrapping Paper","食品级纸","50g","汉堡、三明治、炸物"
"KH-FD-SANDW-060-PR-025","paper-packaging-material","paper-packaging-material-60g-pe-coating","representative","representative","kh-material-family-representative","pending-source","false","","Sandwich Wrapping Paper","食品级纸","60g","三明治、卷饼、面包"
"KH-FD-BAKING-070-OIL-026","paper-packaging-material","paper-packaging-material-70g-pe-coating","representative","representative","kh-material-family-representative","pending-source","false","","Baking Paper","防油食品纸","70g","面包、蛋糕、烘焙托"
"KH-FD-CAKEPAD-230-MC-027","paper-pad","paper-pad-230g-pe-coating","representative","representative","kh-paper-pad-family-representative","pending-source","false","","Cake Pad Paper","白卡 / 食品纸","230g","蛋糕垫片、食品垫板"
"KH-FD-PIZZAP-120-MC-028","corrugated-fluted-paper","corrugated-fluted-paper-120g-pe-coating","representative","representative","kh-corrugated-family-representative","pending-source","false","","Pizza Liner Paper","食品纸 / 瓦楞纸","120g","披萨盒垫纸、食品隔纸"
"KH-FD-TRAYP-250-PE-029","paper-insert","paper-insert-250g-pe-coating-pe","representative","representative","kh-paper-insert-family-representative","pending-source","false","","Food Tray Paper","食品白卡 / 牛皮纸","250g","食品托盘、纸托"
"KH-FD-BOXP-300-CR-030","white-cardboard","white-cardboard-300g-pe-coating","representative","representative","kh-white-cardboard-family-representative","pending-source","false","","Food Box Paper Material","食品白卡 / 牛皮纸","300g","食品盒、外卖盒、纸套"
"KH-CG-SFLUTE-E-RAW-031","paper-pad","paper-pad-120g-80g-pe-coating","representative","representative","kh-paper-pad-family-representative","pending-source","false","","Single-face Corrugated Paper","面纸 + 芯纸","120g + 80g","坑纸、内托、垫片"
"KH-CG-DFLUTE-F-RAW-032","paper-insert","paper-insert-150g-100g-pe-coating","representative","representative","kh-paper-insert-family-representative","pending-source","false","","Double-wall Corrugated Paper","面纸 + 芯纸 + 里纸","150g + 100g","坑盒、隔板、内托"
"KH-CG-TFLUTE-G-RAW-033","paper-insert","paper-insert-180g-100g-pe-coating","representative","representative","kh-paper-insert-family-representative","pending-source","false","","Triple-layer Corrugated Paper","面纸 + 芯纸 + 里纸","180g + 100g","包装盒、缓冲内托"
"KH-CG-EFLUTE-E-MC-034","paper-insert","paper-insert-e-250g-e-pe-coating-e-flute","representative","representative","kh-paper-insert-family-representative","pending-source","false","","E Flute Corrugated Paper","白卡 / 牛皮 + E 坑","250g 白卡 + E 坑","彩盒、坑盒、内托"
"KH-CG-FFLUTE-F-MC-035","paper-insert","paper-insert-f-300g-f-pe-coating-f-flute","representative","representative","kh-paper-insert-family-representative","pending-source","false","","F Flute Corrugated Paper","白卡 / 牛皮 + F 坑","300g 白卡 + F 坑","精品盒、内托、缓冲片"
"KH-CG-GFLUTE-G-MC-036","paper-insert","paper-insert-g-350g-g-pe-coating-g-flute","representative","representative","kh-paper-insert-family-representative","pending-source","false","","G Flute Corrugated Paper","白卡 / 特种纸 + G 坑","350g 白卡 + G 坑","精品盒、纸内托"
"KH-CG-COLORF-E-DC-037","corrugated-fluted-paper","corrugated-fluted-paper-e-f-g-e-f-g-pe-coating-e-f-g-mixed","representative","representative","kh-corrugated-family-representative","pending-source","false","","Colored Corrugated Paper","彩纸 + E/F/G 坑","彩纸 + E/F/G","彩色坑盒、纸托"
"KH-CG-BLACKF-F-DC-038","paper-insert","paper-insert-e-f-g-f-pe-coating-e-f-g-mixed","representative","representative","kh-paper-insert-family-representative","pending-source","false","","Black Corrugated Paper","黑卡 + E/F/G 坑","黑卡 + F 坑","高端坑盒、内托"
"KH-CG-WHITEF-E-MT-039","corrugated-fluted-paper","corrugated-fluted-paper-e-f-g-e-pe-coating-e-f-g-mixed","representative","representative","kh-corrugated-family-representative","pending-source","false","","White Corrugated Paper","白卡 / 白牛皮 + E/F/G 坑","白牛皮 + E 坑","白色坑盒、纸托"
"KH-CG-KFLUTE-E-MT-040","corrugated-fluted-paper","corrugated-fluted-paper-e-f-g-e-f-g-pe-coating-e-f-g-mixed","representative","representative","kh-corrugated-family-representative","pending-source","false","","Kraft Corrugated Paper","牛皮纸 + E/F/G 坑","白牛皮 + E/F/G","坑盒、托盘、隔板"
"KH-CG-BKFLUTE-F-MT-041","paper-insert","paper-insert-e-f-g-f-pe-coating-e-f-g-mixed","representative","representative","kh-paper-insert-family-representative","pending-source","false","","Black Card Laminated Corrugated Paper","黑卡 + E/F/G 坑","黑卡 + F 坑","高端内托、坑盒"
"KH-CG-WCFLUTE-E-MT-042","corrugated-fluted-paper","corrugated-fluted-paper-e-f-g-300g-e-pe-coating-e-f-g-mixed","representative","representative","kh-corrugated-family-representative","pending-source","false","","White Card Laminated Corrugated Paper","白卡 + E/F/G 坑","300g 白卡 + E 坑","彩盒盒片、坑盒"
"KH-CG-SPFLUTE-G-MT-043","paper-insert","paper-insert-e-f-g-g-pe-coating-e-f-g-mixed","representative","representative","kh-paper-insert-family-representative","pending-source","false","","Specialty Paper Laminated Corrugated Paper","特种纸 + E/F/G 坑","特种纸 + G 坑","高端盒片、内托"
