sku,slug,title_en,title_zh,category,productType,canonicalGroupId,imageStatus,dataStatus,mainImageAssetId,assetExactness,assetPermission,productLink,sourceDomain,sourceNotes
KH-WC-PRINTW-350-UV-019,kh-wc-printw-350-uv-019-printed-white-cardboard,Printed White Cardboard,印刷白卡纸,白卡纸系列,white-cardboard,white-cardboard-350g-uv,representative,pending-source,kh-white-cardboard-family-representative,representative,approved,,,No productLink in source catalog; source confirmation required.
KH-WC-PEWHITE-300-PE-020,kh-wc-pewhite-300-pe-020-pe-coated-white-cardboard,PE Coated White Cardboard,淋膜白卡纸,白卡纸系列,white-cardboard,white-cardboard-pe-300g-pe-pe-coating-pe,representative,pending-source,kh-white-cardboard-family-representative,representative,approved,,,No productLink in source catalog; source confirmation required.
KH-FD-FOODW-210-RAW-021,kh-fd-foodw-210-raw-021-food-grade-white-cardboard,Food Grade White Cardboard,食品级白卡纸,食品纸系列,white-cardboard,white-cardboard-210g,representative,pending-source,kh-white-cardboard-family-representative,representative,approved,,,No productLink in source catalog; source confirmation required.
KH-FD-FOODK-120-RAW-022,kh-fd-foodk-120-raw-022-food-grade-kraft-paper,Food Grade Kraft Paper,食品级牛皮纸,食品纸系列,kraft-paper,kraft-paper-120g-pe-coating,representative,pending-source,kh-kraft-family-representative,representative,approved,,,No productLink in source catalog; source confirmation required.
KH-FD-GREASE-040-OIL-023,kh-fd-grease-040-oil-023-greaseproof-paper,Greaseproof Paper,防油纸,食品纸系列,paper-packaging-material,paper-packaging-material-40g-pe-coating,representative,pending-source,kh-material-family-representative,representative,approved,,,No productLink in source catalog; source confirmation required.
KH-FD-BURGER-050-PR-024,kh-fd-burger-050-pr-024-burger-wrapping-paper,Burger Wrapping Paper,汉堡纸,食品纸系列,paper-packaging-material,paper-packaging-material-50g-pe-coating,representative,pending-source,kh-material-family-representative,representative,approved,,,No productLink in source catalog; source confirmation required.
KH-FD-SANDW-060-PR-025,kh-fd-sandw-060-pr-025-sandwich-wrapping-paper,Sandwich Wrapping Paper,三明治包装纸,食品纸系列,paper-packaging-material,paper-packaging-material-60g-pe-coating,representative,pending-source,kh-material-family-representative,representative,approved,,,No productLink in source catalog; source confirmation required.
KH-FD-BAKING-070-OIL-026,kh-fd-baking-070-oil-026-baking-paper,Baking Paper,烘焙纸,食品纸系列,paper-packaging-material,paper-packaging-material-70g-pe-coating,representative,pending-source,kh-material-family-representative,representative,approved,,,No productLink in source catalog; source confirmation required.
KH-FD-CAKEPAD-230-MC-027,kh-fd-cakepad-230-mc-027-cake-pad-paper,Cake Pad Paper,蛋糕垫片纸,食品纸系列,paper-pad,paper-pad-230g-pe-coating,representative,pending-source,kh-paper-pad-family-representative,representative,approved,,,No productLink in source catalog; source confirmation required.
KH-FD-PIZZAP-120-MC-028,kh-fd-pizzap-120-mc-028-pizza-liner-paper,Pizza Liner Paper,披萨垫纸,食品纸系列,corrugated-fluted-paper,corrugated-fluted-paper-120g-pe-coating,representative,pending-source,kh-corrugated-family-representative,representative,approved,,,No productLink in source catalog; source confirmation required.
KH-FD-TRAYP-250-PE-029,kh-fd-trayp-250-pe-029-food-tray-paper,Food Tray Paper,食品托盘纸,食品纸系列,paper-insert,paper-insert-250g-pe-coating-pe,representative,pending-source,kh-paper-insert-family-representative,representative,approved,,,No productLink in source catalog; source confirmation required.
KH-FD-BOXP-300-CR-030,kh-fd-boxp-300-cr-030-food-box-paper-material,Food Box Paper Material,食品盒纸料,食品纸系列,white-cardboard,white-cardboard-300g-pe-coating,representative,pending-source,kh-white-cardboard-family-representative,representative,approved,,,No productLink in source catalog; source confirmation required.
KH-CG-SFLUTE-E-RAW-031,kh-cg-sflute-e-raw-031-single-face-corrugated-paper,Single-face Corrugated Paper,单面瓦楞纸,瓦楞纸 / 坑纸系列,paper-pad,paper-pad-120g-80g-pe-coating,representative,pending-source,kh-paper-pad-family-representative,representative,approved,,,No productLink in source catalog; source confirmation required.
