sku,title,missingFields,sourceStatus,imageMappingStatus,currentImage,requiredAction
"KH-SP-ANTIS-300-AS-054","Anti-scratch Paper","sourceStatus","pending","representative","kh-specialty-family-representative","Confirm sourceStatus and image mapping"
"KH-SP-SCENT-180-SC-055","Scented Paper","sourceStatus","pending","representative","kh-specialty-family-representative","Confirm sourceStatus and image mapping"
"KH-SP-SPFLUTE-300G-MT-056","Specialty Paper Laminated Corrugated Paper","sourceStatus","pending","representative","kh-paper-insert-family-representative","Confirm sourceStatus and image mapping"
"KH-BX-BURGERBOX-300-MC-001","Burger Box","sourceStatus","pending","representative","kh-food-box-family-representative","Confirm sourceStatus and image mapping"
"KH-BX-PIZZABOX-E-CR-002","Pizza Box","sourceStatus","pending","representative","kh-corrugated-family-representative","Confirm sourceStatus and image mapping"
"KH-BX-CAKEBOX-350-LM-003","Cake Box","sourceStatus","pending","representative","kh-food-box-family-representative","Confirm sourceStatus and image mapping"
"KH-BX-SANDWBOX-300-PR-004","Sandwich Box","sourceStatus","pending","representative","kh-food-box-family-representative","Confirm sourceStatus and image mapping"
"KH-BX-TAKEOUT-320-PE-005","Takeaway Food Box","sourceStatus","pending","representative","kh-food-box-family-representative","Confirm sourceStatus and image mapping"
"KH-BX-CHICKEN-350-PR-006","Fried Chicken Box","sourceStatus","pending","representative","kh-food-box-family-representative","Confirm sourceStatus and image mapping"
"KH-BX-TRAY-300-PE-007","Food Paper Tray","sourceStatus","pending","representative","kh-paper-insert-family-representative","Confirm sourceStatus and image mapping"
"KH-BX-SLEEVE-250-PR-008","Food Paper Sleeve","sourceStatus","pending","representative","kh-food-box-family-representative","Confirm sourceStatus and image mapping"
"KH-PD-FOODPAD-080-OIL-009","Food Liner Paper","sourceStatus","pending","representative","kh-food-box-family-representative","Confirm sourceStatus and image mapping"
"KH-BX-BAKERY-350-PR-010","Bakery Packaging Box","sourceStatus","pending","representative","kh-food-box-family-representative","Confirm sourceStatus and image mapping"
"KH-PD-CAKEPAD-350-MC-011","Cake Pad","sourceStatus","pending","representative","kh-paper-pad-family-representative","Confirm sourceStatus and image mapping"
"KH-PD-PIZZAPAD-120-MC-012","Pizza Paper Pad","sourceStatus","pending","representative","kh-paper-pad-family-representative","Confirm sourceStatus and image mapping"
"KH-PD-FOODPAD-150-OIL-013","Food Paper Pad","sourceStatus","pending","representative","kh-paper-pad-family-representative","Confirm sourceStatus and image mapping"
"KH-PD-COSPAD-350-AS-014","Cosmetic Paper Pad","sourceStatus","pending","representative","kh-paper-pad-family-representative","Confirm sourceStatus and image mapping"
"KH-PD-ELECPAD-400-MC-015","Electronics Paper Pad","sourceStatus","pending","representative","kh-paper-pad-family-representative","Confirm sourceStatus and image mapping"
"KH-PD-GIFTPAD-350-EM-016","Gift Box Inner Pad","sourceStatus","pending","representative","kh-paper-pad-family-representative","Confirm sourceStatus and image mapping"
"KH-PD-SHOCKPAD-E-MT-017","Shock-absorbing Paper Pad","sourceStatus","pending","representative","kh-paper-pad-family-representative","Confirm sourceStatus and image mapping"
"KH-PD-ROUND-300-MC-018","Round Paper Pad","sourceStatus","pending","representative","kh-paper-pad-family-representative","Confirm sourceStatus and image mapping"
"KH-PD-SQUARE-300-MC-019","Square Paper Pad","sourceStatus","pending","representative","kh-paper-pad-family-representative","Confirm sourceStatus and image mapping"
"KH-PD-DIECUT-300-MC-020","Custom Die-cut Paper Pad","sourceStatus","pending","representative","kh-paper-pad-family-representative","Confirm sourceStatus and image mapping"
"KH-IN-COSINS-400-MC-021","Cosmetic Paper Insert","sourceStatus","pending","representative","kh-paper-insert-family-representative","Confirm sourceStatus and image mapping"
"KH-IN-PERFINS-400-AS-022","Perfume Paper Insert","sourceStatus","pending","representative","kh-paper-insert-family-representative","Confirm sourceStatus and image mapping"
"KH-IN-ELECINS-E-MT-023","Electronics Paper Insert","sourceStatus","pending","representative","kh-paper-insert-family-representative","Confirm sourceStatus and image mapping"
"KH-IN-GIFTINS-400-EM-024","Gift Box Paper Insert","sourceStatus","pending","representative","kh-paper-insert-family-representative","Confirm sourceStatus and image mapping"
"KH-IN-WINEINS-E-MT-025","Wine Box Paper Insert","sourceStatus","pending","representative","kh-paper-insert-family-representative","Confirm sourceStatus and image mapping"
"KH-IN-TEAINS-350-PR-026","Tea Box Paper Insert","sourceStatus","pending","representative","kh-paper-insert-family-representative","Confirm sourceStatus and image mapping"
"KH-IN-FOODINS-300-PE-027","Food Paper Insert","sourceStatus","pending","representative","kh-paper-insert-family-representative","Confirm sourceStatus and image mapping"
"KH-IN-CORGINS-E-MT-028","Corrugated Paper Insert","sourceStatus","pending","representative","kh-paper-insert-family-representative","Confirm sourceStatus and image mapping"
"KH-IN-WHITEINS-400-MC-029","White Cardboard Insert","sourceStatus","pending","representative","kh-paper-insert-family-representative","Confirm sourceStatus and image mapping"
"KH-IN-SPINS-350-UV-030","Specialty Paper Insert","sourceStatus","pending","representative","kh-paper-insert-family-representative","Confirm sourceStatus and image mapping"
"KH-SF-DIECUT-350-MC-031","Die-cut Semi-finished Sheet","sourceStatus","pending","representative","kh-corrugated-family-representative","Confirm sourceStatus and image mapping"
"KH-SF-CREASE-350-CR-032","Creased Semi-finished Sheet","sourceStatus","pending","representative","kh-white-cardboard-family-representative","Confirm sourceStatus and image mapping"
"KH-SF-LAMIN-E-MT-033","Laminated Semi-finished Sheet","sourceStatus","pending","representative","kh-corrugated-family-representative","Confirm sourceStatus and image mapping"
"KH-SF-FLUTESHT-E-CR-034","Corrugated Box Blank","sourceStatus","pending","representative","kh-corrugated-family-representative","Confirm sourceStatus and image mapping"
"KH-SF-FOLDBL-350-CR-035","Folding Box Blank","sourceStatus","pending","representative","kh-white-cardboard-family-representative","Confirm sourceStatus and image mapping"
"KH-SF-COLORBL-350-PR-036","Printed Color Box Blank","sourceStatus","pending","representative","kh-corrugated-family-representative","Confirm sourceStatus and image mapping"
"KH-SF-FOODBL-300-OIL-037","Food Box Blank","sourceStatus","pending","representative","kh-white-cardboard-family-representative","Confirm sourceStatus and image mapping"
"KH-SF-GIFTBL-400-EM-038","Gift Box Semi-finished Sheet","sourceStatus","pending","representative","kh-paper-insert-family-representative","Confirm sourceStatus and image mapping"
"KH-SF-COSBL-350-AS-039","Cosmetic Box Semi-finished Sheet","sourceStatus","pending","representative","kh-paper-pad-family-representative","Confirm sourceStatus and image mapping"
"KH-SF-SHAPEBL-350-MC-040","Custom Shape Box Blank","sourceStatus","pending","representative","kh-corrugated-family-representative","Confirm sourceStatus and image mapping"
"KH-BX-WHITEBOX-350-PR-041","White Cardboard Packaging Box","sourceStatus","pending","representative","kh-white-cardboard-family-representative","Confirm sourceStatus and image mapping"
"KH-BX-KRAFTBOX-300-PR-042","Kraft Paper Box","sourceStatus","pending","representative","kh-kraft-family-representative","Confirm sourceStatus and image mapping"
"KH-BX-CORBOX-E-CR-043","Corrugated Paper Box","sourceStatus","pending","representative","kh-corrugated-family-representative","Confirm sourceStatus and image mapping"
"KH-BX-COLORCOR-E-DC-044","Colored Corrugated Box","sourceStatus","pending","representative","kh-corrugated-family-representative","Confirm sourceStatus and image mapping"
"KH-BX-COSBOX-350-AS-045","Cosmetic Packaging Box","sourceStatus","pending","representative","kh-white-cardboard-family-representative","Confirm sourceStatus and image mapping"
"KH-BX-ELECBOX-E-MT-046","Electronics Packaging Box","sourceStatus","pending","representative","kh-corrugated-family-representative","Confirm sourceStatus and image mapping"
"KH-BX-FOODBOX-320-PE-047","Food Packaging Box","sourceStatus","pending","representative","kh-food-box-family-representative","Confirm sourceStatus and image mapping"
"KH-BX-GIFTBOX-400-FG-048","Gift Packaging Box","sourceStatus","pending","representative","kh-corrugated-family-representative","Confirm sourceStatus and image mapping"
"KH-BX-FOLDBOX-350-CR-049","Folding Carton","sourceStatus","pending","representative","kh-white-cardboard-family-representative","Confirm sourceStatus and image mapping"
"KH-BX-ONEPIECE-350-MC-050","One-piece Paper Box","sourceStatus","pending","representative","kh-corrugated-family-representative","Confirm sourceStatus and image mapping"
